Region,Country,Rep,Location,StationID
South America,Brazil,BRA,Fortaleza-Pinto Martins Intl AP,823980
South America,Brazil,BRA,Guaramiranga,824870
South America,Brazil,BRA,Iguatu,818730
South America,Brazil,BRA,Itapipoca,817560
South America,Brazil,BRA,Jaguaribe,818330
South America,Brazil,BRA,Jaguaruana,824930
South America,Brazil,BRA,Morada Nova,825940
South America,Brazil,BRA,Quixeramobim,825860
South America,Brazil,BRA,Taua,818720
South America,Brazil,BRA,Campo Grande,836120
South America,Brazil,BRA,Cuiaba-Marechal Ron,833620
South America,Brazil,BRA,Curitiba-Afonso Pen,838400
South America,Brazil,BRA,Brasilia,867150
South America,Brazil,BRA,Planaltina,867160
South America,Brazil,BRA,Alegre,868280
South America,Brazil,BRA,Alfredo Chaves,868290
South America,Brazil,BRA,Linhares,868050
South America,Brazil,BRA,Nova Venecia,867850
South America,Brazil,BRA,Presidente Kennedy,868530
South America,Brazil,BRA,Santa Teresa,868040
South America,Brazil,BRA,Sao Mateus,867860
South America,Brazil,BRA,Vitoria-Salles AP,836490
South America,Brazil,BRA,Vitoria,868300
South America,Brazil,BRA,Florianopolis,838990
South America,Brazil,BRA,Alto Paraiso de Goias,866910
South America,Brazil,BRA,Aragarcas,833740
South America,Brazil,BRA,Caiaponia,867300
South America,Brazil,BRA,Catalao,867770
South America,Brazil,BRA,Cristalina,867370
South America,Brazil,BRA,Goianesia,867130
South America,Brazil,BRA,Goiania,834230
South America,Brazil,BRA,Goias,867120
South America,Brazil,BRA,Itapaci,866890
South America,Brazil,BRA,Itumbiara,867740
South America,Brazil,BRA,Jatai,867520
South America,Brazil,BRA,Luziania,867360
South America,Brazil,BRA,Mineiros,867510
South America,Brazil,BRA,Monte Alegre de Goias,866700
South America,Brazil,BRA,Morrinhos,867550
South America,Brazil,BRA,Niquelandia,866900
South America,Brazil,BRA,Parauna,867320
South America,Brazil,BRA,Pires do Rio,867560
South America,Brazil,BRA,Posse,866920
South America,Brazil,BRA,Rio Verde,867530
South America,Brazil,BRA,Sao Simao,867730
South America,Brazil,BRA,Jacareacanga,826400
South America,Brazil,BRA,Alto Parnaiba,829700
South America,Brazil,BRA,Bacabal,817900
South America,Brazil,BRA,Balsas,819030
South America,Brazil,BRA,Barra do Corda,818250
South America,Brazil,BRA,Buriticupu,817880
South America,Brazil,BRA,Carolina,819010
South America,Brazil,BRA,Caxias,817920
South America,Brazil,BRA,Chapadinha,817490
